element,opponent_team,was_home,minutes,total_points,goals_scored,assists,expected_goals,expected_assists,clean_sheets,avg_minutes,avg_points,avg_goals,avg_xG,avg_assists,avg_xA,clean_sheets_last3,opponent_strength,element_type_1,element_type_2,element_type_3,element_type_4
5,7,0,90.0,1.0,0.0,0.0,0.13,0.01,0.0,90.0,5.0,0.0,0.02,0.0,0.0,2,0.7,0,1,0,0
5,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5.0,0.0,0.04,0.0,0.0,2,0.1,0,1,0,0
5,15,0,90.0,2.0,0.0,0.0,0.0,0.03,0.0,60.0,3.0,0.0,0.04,0.0,0.0,1,0.7,0,1,0,0
5,6,1,90.0,2.0,0.0,0.0,0.14,0.03,0.0,60.0,1.0,0.0,0.04,0.0,0.01,0,0.1,0,1,0,0
5,4,0,90.0,6.0,0.0,0.0,0.06,0.02,1.0,60.0,1.33,0.0,0.05,0.0,0.02,0,0.3,0,1,0,0
5,20,1,90.0,2.0,0.0,0.0,0.35,0.01,0.0,90.0,3.33,0.0,0.07,0.0,0.03,1,0.5,0,1,0,0
5,12,0,90.0,1.0,0.0,0.0,0.0,0.02,0.0,90.0,3.33,0.0,0.18,0.0,0.02,1,0.2,0,1,0,0
5,2,0,90.0,2.0,0.0,0.0,0.0,0.01,0.0,90.0,3.0,0.0,0.14,0.0,0.02,1,0.7,0,1,0,0
5,5,1,90.0,6.0,0.0,0.0,0.06,0.05,1.0,90.0,1.67,0.0,0.12,0.0,0.01,0,0.5,0,1,0,0
5,11,0,90.0,10.0,1.0,0.0,0.12,0.0,0.0,90.0,3.0,0.0,0.02,0.0,0.03,1,0.9,0,1,0,0
5,19,1,90.0,1.0,0.0,0.0,0.19,0.1,0.0,90.0,6.0,0.33,0.06,0.0,0.02,1,0.5,0,1,0,0
5,10,0,90.0,1.0,0.0,0.0,0.0,0.02,0.0,90.0,5.67,0.33,0.12,0.0,0.05,1,0.5,0,1,0,0
5,8,1,80.0,17.0,1.0,1.0,0.99,0.01,1.0,90.0,4.0,0.33,0.1,0.0,0.04,0,0.5,0,1,0,0
5,16,0,90.0,2.0,0.0,0.0,0.0,0.04,0.0,86.67,6.33,0.33,0.39,0.33,0.04,1,0.2,0,1,0,0
5,11,1,90.0,-1.0,0.0,0.0,0.14,0.01,0.0,86.67,6.67,0.33,0.33,0.33,0.02,1,0.9,0,1,0,0
5,19,0,90.0,12.0,1.0,0.0,0.63,0.01,1.0,86.67,6.0,0.33,0.38,0.33,0.02,1,0.5,0,1,0,0
5,6,0,90.0,6.0,0.0,0.0,0.02,0.01,1.0,90.0,4.33,0.33,0.26,0.0,0.02,1,0.1,0,1,0,0
5,15,1,90.0,2.0,0.0,0.0,0.21,0.03,0.0,90.0,5.67,0.33,0.26,0.0,0.01,2,0.7,0,1,0,0
5,17,0,90.0,6.0,0.0,0.0,0.0,0.06,1.0,90.0,6.67,0.33,0.29,0.0,0.02,2,0.1,0,1,0,0
5,4,1,90.0,1.0,0.0,0.0,0.28,0.03,0.0,90.0,4.67,0.0,0.08,0.0,0.03,2,0.3,0,1,0,0
5,13,0,90.0,6.0,0.0,0.0,0.0,0.0,1.0,90.0,3.0,0.0,0.16,0.0,0.04,1,1.0,0,1,0,0
5,12,1,90.0,6.0,0.0,0.0,0.0,0.01,1.0,90.0,4.33,0.0,0.09,0.0,0.03,2,0.2,0,1,0,0
5,5,0,90.0,6.0,0.0,0.0,0.69,0.01,1.0,90.0,4.33,0.0,0.09,0.0,0.01,2,0.5,0,1,0,0
